,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
1599,Pontiac,1,Tuesday,Mar,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,more than 5,no change,3 to 4,All Perils,True,Sedan,All Perils,0
1660,Pontiac,0,Wednesday,Mar,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1675,Honda,1,Monday,Mar,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1679,Toyota,1,Monday,Mar,0.25,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1682,Accura,1,Tuesday,Mar,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1684,Chevrolet,0,Friday,Mar,0.0,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1686,Ford,1,Friday,Mar,0.0,1,Single,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,3 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
1688,Honda,1,Friday,Mar,0.0,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1689,Toyota,0,Wednesday,Mar,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1736,Honda,1,Wednesday,Mar,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1737,Toyota,1,Tuesday,Mar,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1765,Honda,1,Tuesday,Mar,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1777,Mazda,1,Monday,Mar,0.25,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
1780,Mazda,0,Monday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1789,Toyota,1,Tuesday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
1811,Honda,1,Wednesday,Mar,0.5,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,3 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
1855,Mazda,1,Monday,Mar,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1861,Toyota,1,Thursday,Mar,0.25,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
1862,Ford,1,Friday,Apr,0.0,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
1882,Honda,1,Friday,Jul,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
1888,Chevrolet,1,Wednesday,Mar,0.25,0,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
1894,Honda,1,Wednesday,Mar,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1962,Toyota,1,Tuesday,Apr,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,more than 4,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
1978,Honda,0,Monday,Mar,0.5,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,4 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
1989,Chevrolet,1,Friday,Feb,0.75,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,1.0,0.5,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
2003,Mazda,1,Monday,Mar,0.5,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2027,Accura,1,Thursday,Mar,0.5,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
2040,Chevrolet,0,Thursday,Jun,0.5,1,Married,1,Sedan - Collision,Sedan,more than 69000,1.0,0.5,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,1 to 2,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
2041,Pontiac,1,Thursday,Mar,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
2065,Toyota,1,Monday,Mar,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2103,Honda,1,Thursday,Mar,0.5,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2141,Chevrolet,1,Friday,Apr,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2142,Toyota,1,Tuesday,Jul,0.0,1,Married,1,Sedan - Liability,Sport,30000 to 39000,1.0,0.5,0.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,more than 5,2 to 3 years,2 vehicles,Liability,False,Sedan,Liability,1
2143,Ford,1,Tuesday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2167,Toyota,0,Friday,Apr,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2173,Toyota,0,Tuesday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,more than 5,no change,3 to 4,All Perils,True,Sedan,All Perils,0
2185,Pontiac,1,Monday,Mar,0.75,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2190,Ford,1,Friday,Apr,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2202,Toyota,1,Monday,Mar,1.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2204,Toyota,1,Friday,Apr,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2220,Pontiac,1,Tuesday,Apr,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2222,Toyota,1,Monday,Jun,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2240,Toyota,1,Tuesday,Aug,0.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2253,Honda,1,Friday,Mar,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2271,Toyota,1,Friday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2292,Chevrolet,1,Friday,Apr,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
2313,Honda,1,Monday,Apr,0.0,0,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
2317,Pontiac,1,Friday,Apr,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2338,Chevrolet,1,Thursday,Apr,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
2339,Mazda,1,Friday,Apr,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2353,Chevrolet,1,Friday,Apr,1.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,1,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2361,Pontiac,0,Monday,Mar,1.0,0,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
2383,Mazda,1,Friday,Apr,0.25,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2387,Ford,1,Tuesday,Apr,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,1.0,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2388,Toyota,1,Tuesday,Apr,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2423,Pontiac,1,Wednesday,Apr,0.5,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2433,Chevrolet,1,Monday,Apr,0.25,1,Married,0,Sedan - Liability,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Liability,False,Sedan,Liability,1
2436,Toyota,0,Friday,May,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,1 to 2,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
2458,Honda,0,Monday,Apr,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,none,8 to 15,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2468,Toyota,1,Thursday,Apr,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2484,Pontiac,0,Wednesday,Dec,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2500,Pontiac,1,Friday,Apr,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2585,Ford,1,Tuesday,Apr,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
2589,Pontiac,1,Friday,Apr,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2627,Toyota,1,Friday,Apr,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2641,Honda,1,Tuesday,Apr,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2645,Pontiac,1,Friday,Jun,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2677,Ford,0,Thursday,Apr,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2707,Pontiac,1,Monday,Apr,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2756,Chevrolet,1,Tuesday,Apr,0.25,0,Divorced,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2788,Saturn,1,Tuesday,Apr,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,26 to 30,0,0,0,none,no change,3 to 4,All Perils,True,Sedan,All Perils,0
2789,Toyota,1,Friday,Apr,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2805,Ford,1,Tuesday,Apr,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
2808,Accura,0,Wednesday,Apr,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2820,Chevrolet,1,Friday,Apr,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2821,Pontiac,1,Thursday,Apr,0.75,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,1.0,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,1 year,1 vehicle,All Perils,True,Sedan,All Perils,0
2851,Honda,1,Thursday,May,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
2856,Pontiac,1,Friday,Apr,0.5,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,2 to 3 years,2 vehicles,All Perils,True,Sedan,All Perils,0
2863,Pontiac,1,Tuesday,Apr,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2885,Pontiac,1,Monday,Apr,0.5,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2909,Toyota,0,Thursday,Jun,0.75,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2922,Ford,0,Monday,May,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2938,Honda,1,Wednesday,Apr,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
2953,Mazda,1,Wednesday,Apr,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
2962,Honda,1,Thursday,Apr,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
2967,Honda,1,Tuesday,Apr,0.5,1,Single,0,Sedan - Liability,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,more than 4,new,16 to 17,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
2973,Honda,1,Wednesday,May,0.25,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
2999,Pontiac,1,Thursday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3010,Pontiac,1,Monday,May,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3032,Chevrolet,1,Friday,Jul,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3041,Honda,1,Tuesday,Apr,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3044,Honda,1,Tuesday,Apr,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3053,Pontiac,1,Friday,Jun,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,3 years,26 to 30,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3078,Toyota,1,Friday,May,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
3087,Toyota,0,Tuesday,Apr,0.75,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,3 to 5,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
3095,Pontiac,1,Tuesday,May,0.0,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
3097,Pontiac,1,Tuesday,May,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3117,Accura,1,Tuesday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3129,Honda,1,Monday,May,0.0,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
